State	'integer'	'char'	'boolean'	'string'	'type'	'='	'array'	'['	']'	'of'	'struct'	'{'	'}'	';’	':'	'function'	'('	')'	',’	'var'	'if'	'else'	'while'	'do'	'break'	'continue'	'&&'	'||'	'<'	'>'	'<='	'>='	'=='	'!='	'+'	'-'	'*'	'/'	'++'	'--'	'!'	'.'	Id	'true'	'false'	c	s	n	$	P'	P	LDE	DE	T	DT	DC	DF	LP	B	LDV	LS	DV	LI	S	U	M	E	L	R	Y	F	LE	LV	IDD	IDU	ID	TRUE	FALSE	CHR	STR	NUM	NB	MF	MC	NF	MT	ME	MW	
118	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	145	90	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
119	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	146	90	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
120	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	147	90	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
121	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	148	90	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
122	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	149	90	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
123	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	150	90	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
124	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	151	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
125	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	152	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
126	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	153	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
127	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	154	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
128	 	 	 	 	 	 	 	 	r57	 	 	 	 	r57	 	 	 	r57	r57	 	 	 	 	 	 	 	r57	r57	r57	r57	r57	r57	r57	r57	r57	r57	r57	r57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
129	 	 	 	 	 	 	 	 	r58	 	 	 	 	r58	 	 	 	r58	r58	 	 	 	 	 	 	 	r58	r58	r58	r58	r58	r58	r58	r58	r58	r58	r58	r58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
130	 	 	 	 	 	 	 	s83	r55	 	 	 	 	r55	 	 	 	r55	r55	 	 	 	 	 	 	 	r55	r55	r55	r55	r55	r55	r55	r55	r55	r55	r55	r55	 	 	 	s82	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
131	 	 	 	 	 	 	 	s83	r56	 	 	 	 	r56	 	 	 	r56	r56	 	 	 	 	 	 	 	r56	r56	r56	r56	r56	r56	r56	r56	r56	r56	r56	r56	 	 	 	s82	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
132	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s155	 	 	 	 	 	 	 	 	s116	s117	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
133	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s156	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
134	 	 	 	 	 	 	 	 	r61	 	 	 	 	r61	 	 	 	r61	r61	 	 	 	 	 	 	 	r61	r61	r61	r61	r61	r61	r61	r61	r61	r61	r61	r61	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
135	 	 	 	 	 	 	 	 	r62	 	 	 	 	r62	 	 	 	r62	r62	 	 	 	 	 	 	 	r62	r62	r62	r62	r62	r62	r62	r62	r62	r62	r62	r62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
136	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s157	 	 	 	 	 	 	 	 	s116	s117	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
137	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s158	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
138	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	s93	s94	s98	 	s23	s104	s105	s106	s107	s32	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	159	88	89	90	91	 	92	 	96	 	99	100	101	102	103	 	 	 	 	 	 	 	 
139	 	 	 	 	 	 	 	 	 	 	 	r35	r35	 	 	 	 	 	 	 	r35	r35	r35	r35	r35	r35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
140	 	 	 	 	 	r71	 	r71	r71	 	 	 	 	r71	 	 	 	r71	r71	 	 	 	 	 	 	 	r71	r71	r71	r71	r71	r71	r71	r71	r71	r71	r71	r71	r71	r71	 	r71	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
